Date,State,Persons,Cost Per Person
9/1/22,Wisconsin,692414,241.88
10/1/21,Wyoming,30074,241.38
11/1/21,Wyoming,30370,241.12
12/1/21,Wyoming,30218,240.69
1/1/22,Wyoming,30370,236.16
2/1/22,Wyoming,30421,241.44
3/1/22,Wyoming,30714,242.74
4/1/22,Wyoming,31324,235.78
5/1/22,Wyoming,30412,156.55
6/1/22,Wyoming,30261,153.45
7/1/22,Wyoming,29745,137.65
8/1/22,Wyoming,28615,5.28
9/1/22,Wyoming,29607,125.08
