State,Category,Year,AverageUnitPrice
Connecticut,Alcohol,2021.0,9.585344989252679
Connecticut,Alcohol,2022.0,10.444052028226158
Connecticut,Beverages,2019.0,2.6622806366650833
Connecticut,Beverages,2020.0,2.7828153904945165
Connecticut,Beverages,2021.0,2.9291924701209995
Connecticut,Beverages,2022.0,3.2811582354052646
Connecticut,Commercially prepared items,2019.0,2.9343837166397004
Connecticut,Commercially prepared items,2020.0,3.0626095705641827
Connecticut,Commercially prepared items,2021.0,3.194541339618569
Connecticut,Commercially prepared items,2022.0,3.595667640669913
Connecticut,Dairy,2019.0,2.918274501888625
Connecticut,Dairy,2020.0,3.104371298012704
Connecticut,Dairy,2021.0,3.15616060082358
Connecticut,Dairy,2022.0,3.4855823923050426
Connecticut,Fats and oils,2019.0,4.262422798221791
Connecticut,Fats and oils,2020.0,4.446068026971869
Connecticut,Fats and oils,2021.0,4.521254789000986
Connecticut,Fats and oils,2022.0,5.488268269639513
Connecticut,Fruits,2019.0,2.9248812199738166
Connecticut,Fruits,2020.0,3.0557560055205526
Connecticut,Fruits,2021.0,3.2269468832756156
Connecticut,Fruits,2022.0,3.4850551178734555
Connecticut,Grains,2019.0,2.394934209258155
Connecticut,Grains,2020.0,2.616510257114282
Connecticut,Grains,2021.0,2.7162377121751984
Connecticut,Grains,2022.0,3.061863447490792
Connecticut,"Meats, eggs, and nuts",2019.0,5.11168869842284
Connecticut,"Meats, eggs, and nuts",2020.0,5.327874994549011
Connecticut,"Meats, eggs, and nuts",2021.0,5.571059952634755
Connecticut,"Meats, eggs, and nuts",2022.0,6.0049067037113515
Connecticut,Sugar and sweeteners,2019.0,3.074149481747208
Connecticut,Sugar and sweeteners,2020.0,3.6682917622786513
Connecticut,Sugar and sweeteners,2021.0,3.882826735489205
Connecticut,Sugar and sweeteners,2022.0,4.396055958336794
Connecticut,Vegetables,2019.0,2.1546277786371437
Connecticut,Vegetables,2020.0,2.2061693905647486
Connecticut,Vegetables,2021.0,2.2667093471604063
Connecticut,Vegetables,2022.0,2.425185312490283
Florida,Alcohol,2019.0,8.69839380555288
Florida,Alcohol,2020.0,8.981009168587118
Florida,Alcohol,2021.0,9.14894490607434
Florida,Alcohol,2022.0,9.43896149061356
Florida,Beverages,2019.0,2.604809395413497
Florida,Beverages,2020.0,2.7107960955947834
Florida,Beverages,2021.0,2.861056032099126
Florida,Beverages,2022.0,3.204396984623513
Florida,Commercially prepared items,2019.0,2.9614687849159975
Florida,Commercially prepared items,2020.0,3.043951749841216
Florida,Commercially prepared items,2021.0,3.199439626539333
Florida,Commercially prepared items,2022.0,3.593176388427599
Florida,Dairy,2019.0,3.002417450023015
Florida,Dairy,2020.0,3.1310834957950187
Florida,Dairy,2021.0,3.212830331731079
Florida,Dairy,2022.0,3.559509949475249
Florida,Fats and oils,2019.0,3.990323880370958
Florida,Fats and oils,2020.0,4.161216057688107
Florida,Fats and oils,2021.0,4.354515064062743
Florida,Fats and oils,2022.0,5.313871521152499
Florida,Fruits,2019.0,2.5665217757458025
Florida,Fruits,2020.0,2.68602974903125
Florida,Fruits,2021.0,2.850054408252379
Florida,Fruits,2022.0,3.07797746203593
Florida,Grains,2019.0,2.436322579793704
Florida,Grains,2020.0,2.5462279449928946
Florida,Grains,2021.0,2.6303810014881455
